id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Iron Thunder,Steel Vein,heavy metal,intense,0.95,160,0.35,0.55,0.05
12,Broken Curfew,The Riot Act,punk rock,angry,0.88,170,0.40,0.60,0.08
13,Concrete Dreams,MC Lyric,hip-hop,confident,0.70,95,0.65,0.85,0.15
14,Dirt Road Home,Wyatt Cole,country,nostalgic,0.50,100,0.68,0.55,0.60
15,Moonlight Sonata Reprise,Elena Vasquez,classical,calm,0.25,66,0.55,0.20,0.95
16,Island Sway,Marlo Rootz,reggae,relaxed,0.45,88,0.75,0.70,0.45
17,Velvet Whisper,Simone Alaire,r&b,romantic,0.48,84,0.70,0.68,0.40
18,Autumn Fields,Willow Hart,folk,nostalgic,0.33,76,0.62,0.45,0.80
19,Pulse Overdrive,Kinetic Fox,edm,energetic,0.90,128,0.80,0.90,0.05
20,Backroad Blues,Delta Row,blues,melancholy,0.40,70,0.42,0.50,0.65
